State,City,Platform,Dataset_ID,Dataset_Name,Source_URL,File,Status,Last_Observed_Feature_Count,Last_Checked,Notes
Alabama,Birmingham,Other,local-8f4a05ce10ef3cff,Neighborhood,,Alabama/Birmingham/neighborhood.geojson,local_only,23,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
Alaska,Anchorage,ArcGIS,66eb4a8d00384f32a14582f2c0de0329_0,ChugachStatePark_Hosted / Chugach State Park,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/ChugachStatePark_Hosted/FeatureServer/0,Alaska/Anchorage/chugachstatepark_hosted_66eb4a8d00384f32a14582f2c0de0329_0.geojson,curated,9,2026-08-25,Do not rediscover; direct source captured from a successful download.
Alaska,Anchorage,ArcGIS,b8bbca75cc4b4c8082852eb0042bf18f_0,NordicTrails / NordicTrails,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/NordicTrails/FeatureServer/0,Alaska/Anchorage/nordictrails_b8bbca75cc4b4c8082852eb0042bf18f_0.geojson,curated,141,2026-08-25,Do not rediscover; direct source captured from a successful download.
Alaska,Anchorage,ArcGIS,466c5b7adafe4468aebcc29347e8c84e_0,Park_Land_Hosted / Park_Land,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/Park_Land_Hosted/FeatureServer/0,Alaska/Anchorage/park_land_hosted_466c5b7adafe4468aebcc29347e8c84e_0.geojson,curated,318,2026-08-25,Do not rediscover; direct source captured from a successful download.
Alaska,Anchorage,ArcGIS,ec0f022a9b584eab9b1db48263ad83c6_0,Park_TrailPosts_Hosted / Trail Posts,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/Park_TrailPosts_Hosted/FeatureServer/0,Alaska/Anchorage/park_trailposts_hosted_ec0f022a9b584eab9b1db48263ad83c6_0.geojson,curated,292,2026-08-25,Do not rediscover; direct source captured from a successful download.
Alaska,Anchorage,ArcGIS,de7976b27abb46839929013136d515ed_0,ParksRec_Trails_Merged / ParksRec_Trails_Merged,https://services2.arcgis.com/Ce3DhLRthdwbHlfF/arcgis/rest/services/ParksRec_Trails_Merged/FeatureServer/0,Alaska/Anchorage/parksrec_trails_merged_de7976b27abb46839929013136d515ed_0.geojson,curated,1142,2026-08-25,Do not rediscover; direct source captured from a successful download.
Arizona,Mesa,Socrata,w8jb-xjtq,Park And Recreation Areas,,Arizona/Mesa/park_and_recreation_areas_w8jb-xjtq.geojson,local_only,62,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
Arizona,Mesa,Socrata,r7d5-q63s,Parks And Basins Boundaries,,Arizona/Mesa/parks_and_basins_boundaries_r7d5-q63s.geojson,local_only,428,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
Arizona,Mesa,Socrata,djym-pkpp,Parks Locations And Amenities,,Arizona/Mesa/parks_locations_and_amenities_djym-pkpp.geojson,local_only,222,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
Arizona,Mesa,Socrata,eepu-ybxn,Prcf Parks Ranger Reports With Coordinates,,Arizona/Mesa/prcf_parks_ranger_reports_with_coordinates_eepu-ybxn.geojson,local_only,31800,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
Arizona,Tempe,ArcGIS,9769bab61a344494b8a41a9844fcd195_0,Park Boundaries and Amenities / ParksBoundary (with amenities),https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/Park_Boundaries_and_Amenities_view/FeatureServer/0,Arizona/Tempe/park_boundaries_and_amenities_9769bab61a344494b8a41a9844fcd195_0.geojson,curated,81,2026-08-25,Do not rediscover; direct source captured from a successful download.
Arizona,Tempe,ArcGIS,120f7b3176ef4c4ba5323e2ec2ebe8a5_0,Tempe Public Art (open data) / Tempe Public Art,https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/Tempe_Public_Art_(for_open_data)/FeatureServer/0,Arizona/Tempe/tempe_public_art_open_data_120f7b3176ef4c4ba5323e2ec2ebe8a5_0.geojson,curated,348,2026-08-25,Do not rediscover; direct source captured from a successful download.
Arizona,Tempe,ArcGIS,e18642f8c7cc4151baba96a0d302536a_0,Urban Forestry - Canopy Cover 2021 Update 122821 / Updated_122821_Tempe_CanopyCover_CensusBlock_2019,https://services.arcgis.com/lQySeXwbBg53XWDi/arcgis/rest/services/TempeGuadalupe_CanopyCover2019_TreeInv_2021_Update_122821_gdb/FeatureServer/0,Arizona/Tempe/urban_forestry_canopy_cover_2021_update_122821_e18642f8c7cc4151baba96a0d302536a_0.geojson,curated,111,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Los Angeles,Socrata,mbz9-j2zk,Arts District Pedestrian And Bike Counts La Comotion,,California/Los Angeles/arts_district_pedestrian_and_bike_counts_la_comotion_mbz9-j2zk.geojson,local_only,33,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,vdjf-if28,"Cultural Centers, Theaters, Historic Sites, and Galleries: Location and Contact Information",https://data.lacity.org/resource/vdjf-if28.geojson,California/Los Angeles/cultural_centers_theaters_historic_sites_and_galleries_location_and_co_vdjf-if28.geojson,curated,30,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Los Angeles,Socrata,ax8j-dhzm,Department Of Recreation And Parks Facility And Park Information,,California/Los Angeles/department_of_recreation_and_parks_facility_and_park_information_ax8j-dhzm.geojson,local_only,986,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,895k-6zuw,LA Express Park Project Area,https://data.lacity.org/resource/895k-6zuw.geojson,California/Los Angeles/la_express_park_project_area_895k-6zuw.geojson,curated,4,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Los Angeles,Socrata,utq2-nxpj,Lighthouse,,California/Los Angeles/lighthouse_utq2-nxpj.geojson,local_only,2,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,cu97-7vhd,Location Of Fy 2014 Curb Ramps Installed,,California/Los Angeles/location_of_fy_2014_curb_ramps_installed_cu97-7vhd.geojson,local_only,530,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,28qc-63jv,Museums,,California/Los Angeles/museums_28qc-63jv.geojson,local_only,3,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,gbbb-cs88,Parks,,California/Los Angeles/parks_gbbb-cs88.geojson,local_only,5,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,q3kc-wj3g,Publicarts,,California/Los Angeles/publicarts_q3kc-wj3g.geojson,local_only,18,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,s5e6-2pbm,Restroom,,California/Los Angeles/restroom_s5e6-2pbm.geojson,local_only,96,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Los Angeles,Socrata,57hp-ynj6,Specialinterests,,California/Los Angeles/specialinterests_57hp-ynj6.geojson,local_only,13,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,fw6y-ui8e,City Of Oakland Public Art Collection,,California/Oakland/city_of_oakland_public_art_collection_fw6y-ui8e.geojson,local_only,90,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,kd2g-wuf6,Oakland Bike Parking,,California/Oakland/oakland_bike_parking_kd2g-wuf6.geojson,local_only,2387,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,6e52-b8q8,Oakland Bikeway Network,,California/Oakland/oakland_bikeway_network_6e52-b8q8.geojson,local_only,1234,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,wsr6-nipq,Oakland Bikeway Projects,,California/Oakland/oakland_bikeway_projects_wsr6-nipq.geojson,local_only,570,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,qyh9-i9dw,Parks And Recreation Facilities,,California/Oakland/parks_and_recreation_facilities_qyh9-i9dw.geojson,local_only,241,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Oakland,Socrata,byws-6ni8,Parks Medians,,California/Oakland/parks_medians_byws-6ni8.geojson,local_only,276,2026-08-25,Do not rediscover; local file retained but direct source URL is unavailable.
California,Sacramento,ArcGIS,8c4aca76c2ed4eabb28daa18de11c837_0,City of Sacramento Community Centers / City of Sacramento Community Centers,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/City_of_Sacramento_Community_Centers/FeatureServer/0,California/Sacramento/city_of_sacramento_community_centers_8c4aca76c2ed4eabb28daa18de11c837_0.geojson,curated,20,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Sacramento,ArcGIS,b3047674f3f04a759c484fe5208faf6c_0,Parks / Parks,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Parks/FeatureServer/0,California/Sacramento/parks_b3047674f3f04a759c484fe5208faf6c_0.geojson,curated,267,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Sacramento,ArcGIS,b9e7fa6d1d104833b3f04268d7f682dc_0,Parks Public Restrooms / Public Restrooms,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Parks_Public_Restrooms/FeatureServer/0,California/Sacramento/parks_public_restrooms_b9e7fa6d1d104833b3f04268d7f682dc_0.geojson,curated,77,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Sacramento,ArcGIS,f0773d98f269411f8c19de132596ac3d_0,Public Park Amenities / Park Amenities,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/Public_Park_Amenities/FeatureServer/0,California/Sacramento/public_park_amenities_f0773d98f269411f8c19de132596ac3d_0.geojson,curated,2722,2026-08-25,Do not rediscover; direct source captured from a successful download.
California,Sacramento,ArcGIS,a92b3450b6804ffdb64f2bd0a56e716a_3,Streets for People Public Layers / Sidewalk Improvements Public View,https://services5.arcgis.com/54falWtcpty3V47Z/arcgis/rest/services/StreetsforPeoplePublicLayers/FeatureServer/3,California/Sacramento/streets_for_people_public_layers_a92b3450b6804ffdb64f2bd0a56e716a_3.geojson,curated,5077,2026-08-25,Do not rediscover; direct source captured from a successful download.
